no,location_node,destination_node,location_lat,location_lon,destination_lat,destination_lon,time
92,42439409,42430643,40.773422,-73.950737,40.757179,-74.001083,2010/2/2 8:00
93,42431004,42436514,40.779926,-73.984695,40.764244,-73.968948,2010/2/2 8:00
94,42436990,596776546,40.792377,-73.970734,40.796642,-73.944901,2010/2/2 8:00
95,42439389,42436707,40.779057,-73.962326,40.757809,-73.970016,2010/2/2 8:00
96,42437410,42446266,40.709896,-74.017654,40.74332,-73.984398,2010/2/2 8:00
97,42444242,42430358,40.703354,-74.002991,40.759624,-73.979973,2010/2/2 8:00
98,42427483,42457735,40.748013,-74.00267,40.733383,-74.007957,2010/2/2 8:00
99,42431106,42440144,40.79707,-73.97123,40.811153,-73.95359,2010/2/2 8:00
100,42442960,42446488,40.758839,-73.966057,40.752945,-73.98243,2010/2/2 8:00
101,42449890,42440350,40.734856,-73.985977,40.707027,-74.004837,2010/2/2 8:00
102,42443804,42449308,40.752411,-73.978249,40.745369,-73.9823,2010/2/2 8:00
103,42434346,42455643,40.764435,-73.97377,40.768295,-73.988075,2010/2/2 8:00
104,42429981,42439968,40.763306,-73.962914,40.754803,-73.987816,2010/2/2 8:00
105,42439840,42445365,40.745258,-73.994942,40.747643,-73.983368,2010/2/2 8:00
106,42430311,42440004,40.751156,-73.986725,40.760803,-73.981659,2010/2/2 8:00
107,42436407,42445916,40.735638,-74.005981,40.753101,-73.979698,2010/2/2 8:00
108,42430367,42438886,40.76165,-73.979286,40.756329,-73.974419,2010/2/2 8:00
109,42431108,42437052,40.798546,-73.970749,40.790592,-73.973183,2010/2/2 8:00
110,42443388,1061531731,40.793503,-73.966537,40.791534,-73.974068,2010/2/2 8:00
111,42430205,1692450029,40.730457,-74.001663,40.736542,-73.981743,2010/2/2 8:00
112,42442255,673008453,40.722927,-73.998299,40.708797,-74.004143,2010/2/2 8:00
113,42429773,42454325,40.71899,-73.987869,40.742462,-74.006714,2010/2/2 8:00
114,42449971,42446472,40.760605,-73.967033,40.772751,-73.958511,2010/2/2 8:00
115,42442107,42428385,40.705173,-74.008293,40.71101,-74.008751,2010/2/2 8:00
116,42439952,42429565,40.751831,-73.990807,40.715015,-74.011536,2010/2/2 8:00
117,486867490,42456464,40.719242,-73.990036,40.729778,-74.006081,2010/2/2 8:00
118,42430295,42430324,40.748672,-73.988556,40.75309,-73.984718,2010/2/2 8:00
119,42429324,42435265,40.78088,-73.958961,40.773544,-73.977989,2010/2/2 8:00
120,42443054,42428201,40.783936,-73.947266,40.741215,-73.988617,2010/2/2 8:00
121,42428287,42426747,40.75528,-73.985748,40.702187,-74.012695,2010/2/2 8:00
122,42440459,42440459,40.756935,-73.971306,40.756935,-73.971306,2010/2/2 8:00
123,42442949,42430329,40.753498,-73.968712,40.754688,-73.985466,2010/2/2 8:00
124,42428020,42436707,40.771267,-73.950546,40.757423,-73.968506,2010/2/2 8:00
125,427842134,42437644,40.756016,-73.996086,40.747902,-73.984367,2010/2/2 8:00
126,42435636,42449938,40.750027,-73.994835,40.748199,-73.976585,2010/2/2 8:00
127,42440453,42445928,40.758446,-73.975037,40.757793,-73.975594,2010/2/2 8:00
128,42442947,1815133244,40.752254,-73.971245,40.766048,-73.988892,2010/2/2 8:00
129,42435328,42447166,40.791527,-73.965263,40.785877,-73.950813,2010/2/2 8:00
130,42447115,596775919,40.776218,-73.957993,40.760033,-73.972298,2010/2/2 8:00
131,42436122,42431877,40.730885,-74.007683,40.704422,-74.011581,2010/2/2 8:00
132,42437280,593915274,40.736771,-73.988541,40.756199,-74.000687,2010/2/2 8:00
133,596775882,42432818,40.756409,-73.975624,40.763374,-73.974197,2010/2/2 8:00
134,42445936,42435714,40.759632,-73.973183,40.76646,-73.982506,2010/2/2 8:00
135,561035332,42421972,40.804607,-73.966537,40.769615,-73.98214,2010/2/2 8:00
136,42445236,42446013,40.769093,-73.96125,40.773952,-73.963562,2010/2/2 8:00
137,42446086,42440009,40.787563,-73.954887,40.762077,-73.982246,2010/2/2 8:00
138,42436751,42439440,40.742973,-73.981796,40.749081,-73.990868,2010/2/2 8:00
139,42443807,42428308,40.753681,-73.977852,40.761726,-73.984146,2010/2/2 8:00
140,42428037,42428037,40.776241,-73.947197,40.775669,-73.947182,2010/2/2 8:00
141,42443975,42448707,40.756561,-73.998192,40.736897,-73.979233,2010/2/2 8:00
142,42434800,42431789,40.743748,-73.987221,40.731926,-74.002853,2010/2/2 8:00
143,42448257,42447278,40.77322,-73.946205,40.795879,-73.963554,2010/2/2 8:00
144,42430274,596775941,40.744446,-73.991638,40.762405,-73.969948,2010/2/2 8:00
145,42439443,42440960,40.750534,-73.991219,40.766697,-73.986443,2010/2/2 8:00
146,42437108,42427764,40.720509,-73.989433,40.764744,-73.975105,2010/2/2 8:00
147,42443680,42446353,40.747169,-73.985695,40.759289,-73.976257,2010/2/2 8:00
148,42436129,42436060,40.732841,-74.007584,40.721188,-74.009872,2010/2/2 8:00
149,1420632001,42430597,40.767426,-73.97554,40.750793,-74.005791,2010/2/2 8:00
150,42455934,42445387,40.753494,-73.966568,40.744495,-73.975044,2010/2/2 8:00
151,42452817,42446849,40.717293,-74.006584,40.714951,-74.015625,2010/2/2 8:00
152,42430237,1692433918,40.733231,-73.999695,40.72625,-73.995094,2010/2/2 8:00
153,42439840,42449948,40.745876,-73.995003,40.752037,-73.974037,2010/2/2 8:00
154,42429900,42442843,40.739918,-73.979256,40.724792,-73.990257,2010/2/2 8:00
155,595105571,42430052,40.75227,-73.967781,40.774033,-73.964096,2010/2/2 8:00
156,42442959,42439952,40.758385,-73.966415,40.750866,-73.989357,2010/2/2 8:00
157,42436541,42439443,40.782166,-73.955917,40.750412,-73.991844,2010/2/2 8:00
158,42434175,42439203,40.784103,-73.948524,40.738121,-73.987381,2010/2/2 8:00
159,42440710,42427381,40.736107,-73.993996,40.743336,-73.999924,2010/2/2 8:00
160,42430745,42435642,40.770416,-73.991516,40.752552,-73.994781,2010/2/2 8:00
161,42453166,42448707,40.725559,-73.986618,40.736973,-73.97831,2010/2/2 8:00
162,42436751,42445924,40.743496,-73.982567,40.755592,-73.976997,2010/2/2 8:00
163,1061531491,42430344,40.778355,-73.981819,40.756119,-73.9813,2010/2/2 8:00
164,42421749,42428493,40.801544,-73.968643,40.734982,-73.991051,2010/2/2 8:00
165,42436531,42438798,40.760475,-73.960983,40.771133,-73.962006,2010/2/2 8:00
166,42438772,42443826,40.803646,-73.937904,40.797352,-73.930664,2010/2/2 8:00
167,2408421057,42432246,40.773647,-73.870956,40.716633,-73.997894,2010/2/2 8:00
168,42435618,1733612459,40.743889,-73.9991,40.763821,-73.95433,2010/2/2 8:00
169,42439443,42429998,40.750591,-73.991844,40.773865,-73.980682,2010/2/2 8:00
170,42449928,42428438,40.74498,-73.978714,40.722034,-73.999733,2010/2/2 8:00
171,42438487,42446488,40.776867,-73.961861,40.752262,-73.982353,2010/2/2 8:00
172,42428303,42444960,40.759686,-73.985481,40.753887,-73.995872,2010/2/2 8:00
173,42429342,2831728347,40.777115,-73.949173,40.804787,-73.938118,2010/2/2 8:00
174,42824096,42815805,40.762932,-73.933975,40.756351,-73.933578,2010/2/2 8:00
175,42515018,42455396,40.667057,-73.931412,40.721622,-73.977661,2010/2/2 8:00
176,42430279,42445920,40.745029,-73.990616,40.754051,-73.978539,2010/2/2 8:00
177,42446959,42435422,40.751373,-73.976418,40.749535,-73.992355,2010/2/2 8:00
178,42442542,42433604,40.794559,-73.970139,40.751526,-73.983482,2010/2/2 8:00
179,42454742,42446293,40.738556,-74.003883,40.739414,-73.976654,2010/2/2 8:00
180,42439968,42428307,40.755497,-73.988937,40.760555,-73.984535,2010/2/2 8:00
181,42442870,42429690,40.730907,-73.986069,40.768661,-73.961418,2010/2/2 8:00
182,42785814,42452067,40.718918,-73.837791,40.718014,-73.993919,2010/2/2 8:00
183,42421877,42445950,40.732899,-73.996162,40.763596,-73.971855,2010/2/2 8:00
184,42423674,596775951,40.766499,-73.97921,40.760979,-73.971771,2010/2/2 8:00
185,42443804,42438672,40.752583,-73.978539,40.749325,-73.999329,2010/2/2 8:00
186,42446353,42436056,40.759708,-73.976692,40.720154,-74.009773,2010/2/2 8:00
187,42434215,42439440,40.726006,-73.983337,40.749413,-73.990952,2010/2/2 8:00
188,42445236,42428013,40.769276,-73.961174,40.768749,-73.95208,2010/2/2 8:00
189,42428939,561035363,40.828461,-73.949127,40.827766,-73.949638,2010/2/2 8:00
190,42428232,42430344,40.747448,-73.988556,40.756538,-73.982849,2010/2/2 8:00
191,42444933,42455175,40.748562,-74.000191,40.721695,-73.979294,2010/2/2 8:00
192,1692450029,42452314,40.736618,-73.981606,40.709442,-74.015236,2010/2/2 8:00
193,42435266,42445598,40.775238,-73.978271,40.779663,-73.970322,2010/2/2 8:00
194,42449928,42440463,40.74556,-73.979256,40.75671,-73.970062,2010/2/2 8:00
195,1061531807,42442571,40.794823,-73.971764,40.803829,-73.96312,2010/2/2 8:00
196,592405093,42480066,40.714478,-73.981544,40.717701,-73.957848,2010/2/2 8:00
197,42445417,42445936,40.741451,-73.975304,40.759796,-73.973228,2010/2/2 8:00
198,2844853162,42445914,40.744076,-73.924362,40.751945,-73.980949,2010/2/2 8:00
199,42436374,42430007,40.729485,-74.006706,40.714085,-74.010498,2010/2/2 8:00
200,42436404,1918039880,40.735058,-74.006104,40.725201,-73.996262,2010/2/2 8:00
201,42458267,42436390,40.724033,-73.997322,40.732319,-74.006599,2010/2/2 8:00
