begin_node,end_node_i,AADT
42856632,42856636,11659
42428454,1692433919,19330
42433886,422438905,4903
42856566,42856569,7734
402480678,42445769,70833
1061531807,1061531504,15903
276235958,597443960,13387
42856569,42856566,7734
440243782,103866330,104196
42856610,42855355,7734
2757013603,2757013616,33703
42856551,42856546,7734
2757013638,2757013657,16255
42856563,42856560,7734
42856560,42856556,15380
42445603,1775260897,13268
42908548,42817753,4857
42455519,60007350,104196
2757013616,2757013627,87798
42856544,42856541,7734
2757013627,2757013638,41048
42856546,42856544,3408
42856537,42856527,7734
42512479,42512477,3011
42856541,42856537,6297
1782672710,1782672705,3305
42906255,42876570,8620
42807128,42807132,16180
103870384,103870392,84433
1775270664,805771586,1120
42461394,42519809,10755
1061531654,1061531717,18593
1061531637,1061531603,17208
42885400,276314522,9390
42434160,1061531637,19436
1061531603,1061531839,17208
42461394,42517603,1748
42804745,42884844,4118
1061531603,1061531637,17208
42807132,42810972,16180
42425570,595703303,16939
42831212,2570180837,10796
1061531575,1061531654,18593
103870309,103870311,104196
2025209370,42757938,3344
103230928,103245965,276476
103870382,103870384,84433
103870379,103870382,84433
42906419,42876752,3112
440243599,103864298,104196
1061531527,1061531707,9729
276317345,42836389,5122
1061531509,1061531447,4742
2757168852,277029610,12667
1061531504,1061531807,15903
561035367,42441774,22921
42856527,42849727,7734
42807081,42809543,22424
42511953,42517097,8720
42807105,42807106,16180
42807116,42807117,16180
246580982,42439295,70833
1506902240,42422038,7914
42807124,42807128,16180
42807117,42807119,16180
561035330,42441913,8817
42807119,42807124,16180
246885877,42424258,11741
42807113,42807116,16180
103870325,103869105,104196
103870392,103867026,84433
42807106,42807108,16180
42807109,42807113,16180
42807108,42807109,16180
42512120,42511953,7594
42807086,42807093,21266
42856636,42844394,11659
1061531447,1061531509,4742
42807102,42807105,16180
42807093,42807097,21266
103870467,103864243,128817
42807097,42807102,16180
451051793,42483504,19286
42807081,42807083,21091
42428840,2541754762,19753
