begin_node,end_node_i,Other_Volume
42449954,42448813,55939
1399181886,1544809891,55931
42445661,42449942,55910
588785542,1775260905,55905
42453187,42442913,55881
42430063,42450009,55837
42427316,42440815,55832
42432444,42446949,55710
42452814,42444506,55658
42430384,42430390,55648
42446472,42436919,55497
589298178,42428014,55495
42433573,42440825,55431
42533517,42491642,55397
42430796,42431273,55243
42428022,42428024,55227
42444964,42435646,55157
42448745,42452814,55126
42438805,42438802,54979
589298803,42429981,54958
42442895,42449918,54882
427840957,427840949,54872
42427030,42428005,54823
42437618,1773084405,54664
42440810,42435451,54540
42491540,42482561,54500
42432444,42432451,54467
42450341,42445039,54412
42435451,42440810,54300
42437363,42435663,54282
42450015,42443027,54232
42442983,42442977,54196
42442913,42442910,54155
42826038,42833059,54115
42443009,42429693,54058
42435514,42450028,53889
598043789,42497737,53844
42445018,42432703,53806
42430235,42433282,53771
42432057,42437108,53729
42429693,42443000,53716
42442918,42434965,53645
2689614147,277030060,53642
42454701,42446478,53641
42436748,42445409,53624
42438894,42438891,53394
42469214,278607895,53372
42513154,42513150,53289
42429705,1544809885,53168
42513150,42523216,53162
277030060,277030122,53147
42444506,42434179,53050
42859976,42825307,53033
42442422,42443332,53006
42421882,42432194,53003
42461379,1369956650,52922
42428016,42428015,52821
1775260905,1775260897,52780
42879504,42910642,52532
42443068,42436651,52517
42430068,42439563,52343
42457735,42436894,52327
42446472,42446466,52303
42429707,42429705,52263
42523216,42491226,52068
42904507,42833515,52033
596776017,42431678,51956
42430329,42430333,51873
42443965,42444964,51831
42449945,42446959,51814
42497691,42478289,51787
42431556,42428328,51781
42442963,42436527,51779
42923772,42900660,51735
42445417,42445420,51696
42431681,42431684,51692
42484806,42521121,51665
42437663,42435644,51658
42440934,42440935,51652
42517476,42497788,51576
476241497,483584559,51497
42429521,588593097,51491
42449948,42442943,51474
42442910,42442906,51473
42428003,42427996,51472
42428016,42428020,51387
42456076,42443046,51312
42446275,42442898,51299
42427996,42427991,51276
42478907,42478906,51090
42445039,42445037,51058
1919595913,42436968,51041
588178801,2799547042,50898
42445378,42434959,50778
42442918,593886252,50746
42427915,42433564,50704
42428978,42428980,50692
42437580,2481865390,50676
591454081,42452008,50612
42442937,42455929,50489
42432861,42432856,50467
42427979,42427975,50450
42431461,42431459,50379
42430747,42450341,50334
42436184,42452310,50233
42444822,42436556,50193
42439550,42440838,50094
42481889,42497737,50067
42428029,42428032,50053
42435646,42435650,50014
42885751,42923772,49990
42428013,42428012,49961
279609722,597443942,49925
42445748,42436551,49823
42440820,42428433,49711
42431560,2698702583,49697
42799103,42832512,49669
42443020,42430068,49667
2698702581,42445037,49659
42445174,42440869,49577
42428039,42428037,49575
42432594,42443532,49517
42445018,42435675,49510
42430324,42430329,49415
42439409,42448254,49409
42779675,42424605,49389
42446879,42446875,49388
42432693,42430344,49380
42435645,42435646,49377
42435663,42437368,49348
42888672,42926409,49343
42795971,597444019,49336
42437371,42454433,49319
42446478,42436922,49300
42450057,42443068,49294
486819536,1538237264,49291
42430311,42430314,49186
370892861,42446398,49114
42435553,607920363,49093
42941870,42867654,49035
42432127,42424864,49027
42445649,42430320,49023
42428985,42428989,48944
42833515,42885751,48927
42429340,42429342,48878
42430314,42430317,48802
42496867,42513154,48782
1773082410,42432082,48735
589929444,42428052,48711
42867654,42849630,48522
42438805,42439567,48509
42428989,2499802957,48487
42825558,42825556,48469
42447020,42455113,48396
1064257394,42846335,48366
42445917,42445920,48352
42428014,589298178,48320
42824096,42825865,48265
42909564,42864781,48249
42434434,42434439,48223
42435680,42432589,48093
42430075,42454701,48052
42866368,42832512,47983
42443024,42446472,47972
42445247,42436492,47936
42427975,42427972,47918
42442977,42455675,47882
42428020,42428016,47830
1538237264,272195272,47816
42442959,42448379,47779
42826027,2297358949,47685
42443024,42443020,47680
42428588,42428583,47668
2481865390,42437580,47645
42449689,42442918,47627
42428010,42438805,47623
42434172,42434169,47595
42430745,42455643,47575
42876760,42892924,47540
42433281,42430235,47412
42436527,42424098,47392
42433625,42433620,47373
42442939,42442937,47296
42439563,42438802,47257
42449314,42449928,47233
42427423,42427421,47204
42428297,42432700,47202
42450352,42430747,47179
42439567,42430075,47164
42429694,42445247,47108
42439960,42435650,47093
42431519,42430770,47084
42439972,42435660,47074
42435663,42437363,47055
42455695,42429694,47035
42428321,42435710,47032
42824096,42824101,47031
42438971,42443061,46936
42819392,42860164,46921
42427970,42424137,46839
42433581,1919595917,46819
42466196,42475971,46813
596799891,42428010,46667
42454433,593921875,46641
486868873,486867490,46633
42435518,42456066,46575
42435660,42445001,46551
276299053,276315696,46465
1970262955,42518571,46404
42427477,42437909,46384
42428052,42428049,46380
42428998,42429002,46376
42433261,42430805,46358
42430390,42427764,46357
62915536,42443549,46277
42443349,42421803,46236
42439099,246649429,46142
42434270,42430269,46122
42439580,42440815,46111
1061531509,42421972,46099
599270645,481250111,46044
42439559,42439561,46023
42436921,42443024,45877
42423579,371034158,45868
1733612459,42427991,45843
42446398,370893396,45801
42900660,42932888,45783
1544809885,42429703,45781
276317107,2799547029,45724
427804196,593839894,45690
42434386,42443077,45685
42428045,42436551,45663
595801192,42779675,45652
42455675,42447237,45642
42430664,593839894,45617
42430342,42443556,45612
42428039,42454196,45599
1398594306,276061035,45584
541467364,2481865390,45581
42437644,42430304,45517
42436551,42444820,45498
42433581,1919595916,45459
42435518,42428032,45428
42501792,42493358,45373
42447007,42432847,45365
42456543,42428179,45344
42445037,42455643,45342
42439440,42435422,45330
42826038,42826040,45313
42430333,42437358,45231
42438509,42452956,45207
42932492,42849753,45133
42440951,42430375,45122
42446949,42449942,45110
42445390,42445392,45075
596776017,42455694,45053
42436917,42436919,45040
42432847,42443614,45011
42450037,42447154,44953
42428012,42428010,44951
42444820,42456076,44891
42438881,42432580,44869
42448693,42436578,44862
42449991,42447076,44850
42429693,42429694,44847
42514274,42467417,44835
42440946,42453472,44772
277046311,276317706,44760
42426374,42433743,44757
42428005,42445247,44723
42421775,42421772,44722
42428583,42435257,44691
42431661,42455675,44653
593915255,42430651,44651
42860202,42860194,44619
42434085,42444049,44597
42432082,1773082410,44597
42432589,42432594,44595
42449308,42456568,44581
42860206,42860202,44574
42444049,42443810,44561
42443326,42429998,44460
42434179,2348688907,44440
42443077,42450066,44418
42428303,42435677,44416
42506525,42501792,44393
42428014,42428013,44392
42442175,595703341,44373
42442895,42429900,44337
42926487,42824085,44334
42455934,42459579,44253
42492415,42497737,44238
42423677,42423674,44225
42445369,42445374,44206
597261862,42513166,44157
2302133933,42456555,44109
42435422,42435420,44099
42430288,42430292,44064
42500696,42506525,44040
42430265,42439836,44018
1061531645,42428661,43963
42435644,42435645,43928
42428601,1061531527,43923
42430271,42437881,43913
42445033,2348991701,43913
42430063,42430060,43902
42431684,42427991,43885
42448257,42428029,43848
42436369,42436371,43837
42435514,42435516,43811
1930487416,42449685,43764
42440710,42430253,43754
2499802957,42428998,43695
42442432,42428634,43604
42428601,1061531608,43564
